Brand,Model,Year,Category,Displacement (ccm),Power (hp),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Torque (Nm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
acabion,da vinci 650-vi,2011,Prototype / concept model,,804.0,,420.0,,,Liquid,Chain,Unknown,Electric,Electric
acabion,gtbo 55,2007,Sport,1300.0,541.0,,360.0,,420.0,Liquid,Unknown,6-speed, four-stroke,In-line four
acabion,gtbo 600 daytona-vi,2011,Prototype / concept model,,536.0,,420.0,,,Liquid,Unknown,Unknown,Electric,Electric
acabion,gtbo 600 daytona-vi,2021,Prototype / concept model,,536.0,,420.0,,,Liquid,Unknown,Unknown,Electric,Electric
acabion,gtbo 70,2007,Prototype / concept model,1300.0,689.0,,300.0,,490.0,Liquid,Unknown,6-speed, four-stroke,In-line four
access,37 offroad e-scooter,2021,Scooter,,1.1,,42.0,750.0,,Unknown,Chain,Automatic,Electric,Electric
access,ams 3.20 supercross,2016,ATV,280.0,18.8,14.0,225.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 4.30 supermoto efi,2016,ATV,359.3,29.5,14.0,236.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 4.38 sm gear shift,2016,ATV,449.0,37.6,14.0,236.0,,,Air,Chain,5-speed, four-stroke,Single cylinder
access,ams 4.38 sx gear shift,2016,ATV,449.0,37.6,14.0,236.0,,,Air,Chain,5-speed, four-stroke,Single cylinder
access,ams 6.46 basic,2016,ATV,608.0,45.6,21.0,346.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 6.46 lux,2016,ATV,608.0,45.6,21.0,346.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 6.46 lux long,2016,ATV,608.0,45.6,21.0,346.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 8.57 lux lv,2016,ATV,781.0,56.3,21.0,362.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,amx 8.57 efi,2018,ATV,781.0,57.7,21.0,344.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,minisport 110,2021,ATV,107.0,6.8,,95.0,610.0,,Air,Chain,Automatic, four-stroke,Single cylinder
access,shade 200,2021,ATV,176.0,13.1,,201.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,shade 420,2018,ATV,359.3,26.8,16.6,321.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 650,2018,ATV,608.0,45.6,21.0,334.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 650 eps,2020,ATV,608.0,45.6,21.0,342.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 850,2018,ATV,781.0,57.7,21.0,334.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 850 lv,2020,ATV,781.0,57.7,21.0,342.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 850 touring,2020,ATV,781.0,57.7,21.0,358.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade xtreme 650,2022,ATV,608.0,45.6,21.0,330.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade xtreme 650 ng,2020,ATV,608.0,45.6,21.0,330.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade xtreme 850,2018,ATV,781.0,57.7,21.0,329.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade xtreme 850 dlx eps,2020,ATV,781.0,57.7,21.0,329.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,xtreme enduro 300,2021,ATV,280.0,18.8,,225.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,xtreme s 480,2021,ATV,449.0,,14.0,236.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,xtreme supermoto 300,2021,ATV,280.0,18.8,,225.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
ace,exp-4,1923,Sport,1299.0,,,,,,Unknown,Chain,Unknown, four-stroke,In-line four
ace,standard,1924,Allround,1234.0,,,165.0,,,Unknown,Chain,Unknown, four-stroke,Twin
ace,standard,1925,Allround,1234.0,,,165.0,,,Unknown,Chain,Unknown, four-stroke,Twin
ace,standard,1926,Allround,1234.0,,,165.0,,,Unknown,Chain,Unknown, four-stroke,Twin
ace,standard model,1927,Allround,1234.0,,,165.0,,,Unknown,Chain,Unknown, four-stroke,Twin
adiva,ad 125,2009,Scooter,124.0,14.8,13.5,175.0,,12.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ad 125,2011,Scooter,124.0,13.0,13.5,171.0,,10.9,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ad 125le,2010,Scooter,124.0,13.0,13.5,171.0,,10.9,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ad 200,2011,Scooter,171.2,15.8,12.0,172.0,,15.3,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ad 250,2009,Scooter,244.0,21.5,13.5,175.0,,20.2,Liquid,Unknown,Unknown, four-stroke,Single cylinder
adiva,ad tre,2014,Scooter,205.3,20.6,13.0,118.0,740.0,18.9,Air,Belt,Automatic, four-stroke,Single cylinder
adiva,ad tre 55,2014,Scooter,205.3,20.6,13.0,215.0,740.0,18.9,Air,Belt,Automatic, four-stroke,Single cylinder
adiva,ad125,2008,Scooter,124.0,14.8,,175.0,,12.0,Unknown,Unknown,Unknown, four-stroke,Single cylinder
adiva,ad250,2008,Scooter,244.0,21.5,,175.0,,20.2,Unknown,Unknown,Unknown, four-stroke,Single cylinder
adiva,ad3 300,2018,Scooter,299.0,,11.0,202.0,700.0,30.1,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ad3 300,2019,Scooter,299.0,29.4,11.0,202.0,700.0,31.0,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ad3 300lt,2020,Scooter,299.0,29.4,12.2,202.0,700.0,30.1,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ad3 400,2018,Scooter,399.0,36.7,11.0,257.0,770.0,38.1,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ad3 400,2019,Scooter,399.0,36.7,11.0,257.0,770.0,38.1,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ar 125,2011,Scooter,124.0,13.0,12.0,171.0,,10.9,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ar 200,2011,Scooter,171.2,15.8,12.0,172.0,,15.3,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ar3 200,2018,Scooter,190.0,18.8,14.0,231.0,700.0,17.0,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,birdie,2012,Scooter,124.6,9.4,5.0,118.0,,9.0,Air,Unknown,Unknown, four-stroke,Single cylinder
adiva,cargo 3,2013,Scooter,,1.3,,,720.0,180.0,Air,Unknown,1-speed,Electric,Electric
adiva,cargo 3,2014,Scooter,,1.3,,60.0,720.0,180.0,Air,Unknown,1-speed,Electric,Electric
adiva,cargo2,2011,Scooter,,,,60.0,700.0,,Unknown,Unknown,1-speed,Electric,Electric
adiva,e-moving,2013,Scooter,,0.8,,63.0,,,Air,Unknown,1-speed,Electric,Electric
adiva,e-moving,2014,Scooter,,0.8,,63.0,,,Air,Unknown,1-speed,Electric,Electric
adiva,n125,2010,Scooter,124.0,10.3,6.0,108.0,800.0,9.8,Unknown,Unknown,Unknown, four-stroke,Single cylinder
adiva,n125,2011,Scooter,124.0,10.3,6.0,108.0,800.0,9.8,Air,Unknown,Automatic, four-stroke,Single cylinder
adiva,r125,2010,Scooter,124.0,10.3,6.0,109.0,800.0,9.8,Unknown,Unknown,Unknown, four-stroke,Single cylinder
adiva,r125,2011,Scooter,124.0,10.3,6.0,109.0,800.0,9.8,Air,Belt,Automatic, four-stroke,Single cylinder
adiva,vx-1,2021,Scooter,,14.8,,,775.0,65.0,Air,Unknown,Automatic,Electric,Electric
adler,isdt,1957,Sport,247.0,18.0,12.0,,,,Air,Chain,Unknown, two-stroke,Twin
adler,isdt,1958,Sport,247.0,18.0,12.0,,,,Air,Chain,Unknown, two-stroke,Twin
adler,junior 100 luxus,1955,Scooter,100.0,,,,,,Air,Unknown,Unknown, two-stroke,Single cylinder
adler,junior 100 luxus,1956,Scooter,100.0,,,,,,Air,Unknown,Unknown, two-stroke,Single cylinder
adler,junior 100 luxus,1957,Scooter,100.0,,,,,,Unknown,Unknown,Unknown, two-stroke,Single cylinder
adler,m 100,1955,Sport,100.0,,,70.0,,,Air,Chain,3-speed, two-stroke,Single cylinder
adler,m 100,1956,Sport,100.0,,7.0,70.0,,,Air,Chain,3-speed, two-stroke,Single cylinder
adler,m 100,1957,Sport,100.0,,7.0,70.0,,,Air,Chain,3-speed, two-stroke,Single cylinder
adler,m 100,1958,Sport,100.0,,7.0,70.0,,,Air,Chain,3-speed, two-stroke,Single cylinder
adler,m 200,1952,Naked bike,200.0,11.0,,130.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,m 200,1953,Naked bike,200.0,11.0,,130.0,,,Air,Chain,4-speed, two-stroke,Twin
