Brand,Model,Year,Category,Displacement (ccm),Power (hp),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Torque (Nm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
Unknown,Electric motorcycle and scooter overview,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,SPR 240 Supermoto,2023.0,Super motard,Unknown,20.0,Unknown,Unknown,Unknown,Unknown,Oil & air,Chain  (final drive),5-speed,Unknown,Unknown
Unknown,SPR 240 Enduro,2023.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Oil & air,Chain  (final drive),5-speed,Unknown,Unknown
Unknown,SPR 125 Supermoto,2023.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Air,Chain  (final drive),5-speed,Unknown,Unknown
Unknown,SPR 125 Enduro,2023.0,Enduro / offroad,Unknown,12.5,Unknown,Unknown,Unknown,Unknown,Air,Chain  (final drive),5-speed,Unknown,Unknown
Unknown,PR7 650 Adventure,2023.0,Enduro / offroad,Unknown,48.0,Unknown,Unknown,Unknown,Unknown,Liquid,Chain  (final drive),6-speed,Unknown,Unknown
Unknown,STR,2023.0,Scooter,Unknown,21.5,Unknown,Unknown,Unknown,Unknown,Liquid,Chain  (final drive),Automatic,Unknown,Unknown
Unknown,Cobra 400 SX,2023.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Liquid,Chain  (final drive),Automatic,Unknown,Unknown
Unknown,AI-2 Gather,2023.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Air,Belt  (final drive),Automatic,Unknown,Unknown
Unknown,Xtreme X 480,2023.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Liquid,Chain  (final drive),5-speed,Unknown,Unknown
Unknown,Xtreme X 300,2023.0,ATV,Unknown,18.8,Unknown,Unknown,Unknown,Unknown,Liquid,Chain  (final drive),Automatic,Unknown,Unknown
Unknown,Shade Xtreme 850 Lux,2023.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Liquid,Chain  (final drive),Automatic,Unknown,Unknown
Unknown,Shade Xtreme 650,2023.0,ATV,Unknown,45.6,Unknown,Unknown,Unknown,Unknown,Liquid,Chain  (final drive),Automatic,Unknown,Unknown
Unknown,Mini X 110,2023.0,ATV,Unknown,7.0,Unknown,Unknown,Unknown,Unknown,Air,Chain  (final drive),Automatic,Unknown,Unknown
Unknown,Mini S 110,2023.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Air,Chain  (final drive),Automatic,Unknown,Unknown
Unknown,RSV4 1100,2024.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RS 660 35kW,2025.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RS 660,2025.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RS 457,2025.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RS 125,2025.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RFZ 70,2025.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Tempest Roadster 125,2025.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Digita 50,2025.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Crossland 600,2025.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,CO-IN 125i,2025.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Ai-1 More,2025.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Xtreme Supermoto 450 EFI,2025.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Xtreme Mini 100,2025.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Xtreme Enduro SP400S,2025.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Xtreme Enduro 450 EFI,2025.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RS 660 Extrema,2024.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RS 660 35kW,2024.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RS 660,2024.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RS 457,2024.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,RS 125,2024.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,AM Thunder 125,2024.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Bilston 125,2024.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Barletta 125,2024.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,SPR 125 Enduro,2024.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,PR7 650 Adventure,2024.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Cobra 400 SM,2024.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,AI-3 More,2024.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Xtreme Enduro SP300S,2024.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown
Unknown,Motorcycle Riding Safety Guide,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,1930s motorcycles,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,1950s motorcycles,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,1960s motorcycles,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Motorcycle Catalog 2025 - 1894,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
