Brand,Model,Year,Category,Displacement (ccm),Power (hp),Torque (Nm),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder,URL
Yamaha,▷ Yamaha NEO´s 2022,2024,Unknown,Unknown,3,136,Unknown,90,795,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/neos
Yamaha,▷ Yamaha MT,2023,Unknown,890,119,93,14,189,825,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-09-2021
Yamaha,▷ Yamaha YZ125 2025,2025,Unknown,125,96,Unknown,7,96,980,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz125-2025
Yamaha,▷ Yamaha MT,2025,Unknown,125,15,11.5,10,142,810,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-125
Yamaha,▷ Yamaha XSR125 2022,2024,Unknown,124,15,11.5,11,160,810,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xsr125-2022
Yamaha,▷ Yamaha Kodiak 450 EPS SE 2025,2025,Unknown,421,Unknown,Unknown,14,035,855,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/kodiak-450-eps-se
Yamaha,▷ Yamaha MT,2024,Unknown,321,42,29.6,14,168,780,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-03-2022
Yamaha,▷ Yamaha Niken GT 2023,2023,Unknown,890,115,90.7,18,270,Unknown,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/niken-gt-2023
Yamaha,▷ Yamaha MT,2023,Unknown,125,15,11.5,10,140,810,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-125-2023
Yamaha,▷ Yamaha Ténéré 700 Explore 2024,2024,Unknown,689,73,67,16,211,860,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tenere-700-explore
Yamaha,▷ Yamaha WR250F 2023,2023,Unknown,250,115,Unknown,7.9,115,955,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/wr250f
Yamaha,▷ Yamaha Tracer 7 2025,2025,Unknown,689,72,68,18,203,830,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tracer-7
Yamaha,▷ Yamaha YZ450F 2025,2025,Unknown,449,109,Unknown,6.2,109,965,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz450f-2025
Yamaha,▷ Yamaha MT,2024,Unknown,890,119,93,14,194,825,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-09-sp
Yamaha,▷ Yamaha YZF,2024,Unknown,998,200,113.3,17,202,860,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yzf-r1-m-2020
Yamaha,▷ Yamaha YZ250 2024,2024,Unknown,249,103,Unknown,7,103,975,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz250-2024
Yamaha,▷ Yamaha MT,2023,Unknown,689,73,2023,14,184,805,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-07-2023
